ts,date,time,symbol,name,market,price,pct
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,PLTR,팔란티어,US,175.8900,-2.2508
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,SPCX,스페이스X,US,135.0000,-1.4383
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,GEV,GE베르노바,US,942.1000,-1.5415
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,BE,블룸에너지,US,204.0200,1.2758
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,034020,두산에너빌리티,KR,77200.0000,5.7534
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,015760,한국전력,KR,32300.0000,2.5397
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,005930,삼성전자,KR,251250.0000,-2.2374
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,000660,SK하이닉스,KR,1594000.0000,-4.6080
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,066570,LG전자,KR,194300.0000,-2.7528
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,009150,삼성전기,KR,1287000.0000,-2.3520
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,005380,현대차,KR,415000.0000,0.2415
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,035420,네이버,KR,215500.0000,-3.5794
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,302440,SK바이오사이언스,KR,37100.0000,-3.1332
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,475230,엔알비,KR,8820.0000,-1.4525
2026-08-25T11:23:36.813897+09:00,2026-08-25,11:23,220100,퓨쳐켐,KR,8230.0000,1.2300
